ft_away,three_away,pts_away,team_ortg_away,team_drtg_away,result
10.000000007,7e-09,66.00000000700001,86.7,112.9,0.0
12.000000007,4.000000007000001,74.00000000700001,90.5,107.6,0.0
15.000000007,3.0000000070000006,74.00000000700001,83.1,100.0,0.0
29.000000007,10.000000007,91.00000000700001,105.0,96.9,1.0
23.000000007,5.000000007000001,82.00000000700001,90.7,80.7,1.0
9.000000007,6.000000007000001,75.00000000700001,92.9,95.4,0.0
21.000000007,9.000000007,94.00000000700001,109.9,86.5,1.0
11.000000007,1.0000000070000004,72.000000007,87.5,106.9,0.0
29.000000007,3.000000007,86.00000000700001,101.5,107.4,0.0
23.000000007,2.0000000070000006,89.00000000700001,102.8,97.0,1.0
15.000000007,3.0000000070000006,82.00000000700001,92.7,106.2,0.0
18.000000007,2.000000007,78.00000000700001,95.0,113.2,0.0
16.000000007,3.0000000070000006,75.00000000700001,90.2,99.9,0.0
12.000000007,5.000000007000001,81.000000007,91.3,104.8,0.0
24.000000007,3.000000007,79.00000000700001,89.7,107.9,0.0
14.000000007,7.000000007000001,77.00000000700001,90.5,94.0,0.0
9.000000007,2.0000000070000006,83.00000000700001,105.5,106.7,0.0
20.000000007,7e-09,90.00000000700001,112.8,100.2,1.0
17.000000007,5.000000007000001,80.00000000700001,94.5,115.8,0.0
25.000000007,3.0000000070000006,86.00000000700001,94.7,111.2,0.0
15.000000007,7.000000007000001,82.00000000700001,105.0,111.4,0.0
10.000000007,7.000000007000001,83.00000000700001,94.1,99.8,0.0
20.000000007,3.000000007,83.00000000700001,101.4,107.5,0.0
23.000000007,5.000000007000001,78.00000000700001,95.0,112.1,0.0
25.000000007,6.000000007000001,91.00000000700001,101.8,90.6,1.0
16.000000007,5.000000007000001,77.00000000700001,94.9,104.8,0.0
20.000000007,4.000000007000001,88.00000000700001,98.4,89.5,1.0
17.000000007,3.000000007,82.00000000700001,101.5,112.7,0.0
20.000000007,3.0000000070000006,79.00000000700001,98.7,124.9,0.0
17.000000007,7.000000007000001,96.00000000700001,122.0,108.0,1.0
10.000000007,7.000000007000001,87.00000000700001,96.1,98.3,0.0
19.000000007,2.000000007,93.00000000700001,112.3,102.6,1.0
20.000000007,4.000000007000001,86.00000000700001,107.3,97.3,1.0
10.000000007,9.000000007,89.00000000700001,111.5,106.5,1.0
17.000000007,3.0000000070000006,84.00000000700001,95.1,105.3,0.0
13.000000007,9.000000007,92.00000000700001,113.6,109.9,1.0
17.000000007,2.000000007,89.00000000700001,103.8,89.8,1.0
10.000000007,5.000000007000001,77.00000000700001,86.8,101.5,0.0
27.000000007,4.000000007000001,95.00000000700001,114.5,101.3,1.0
24.000000007,5.000000007000001,79.00000000700001,89.3,83.7,1.0
20.000000007,2.0000000070000006,82.00000000700001,93.3,106.9,0.0
12.000000007,6.000000007000001,86.00000000700001,98.4,120.2,0.0
11.000000007,4.000000007000001,73.00000000700001,87.4,116.1,0.0
6.000000007000001,8.000000007,92.00000000700001,117.3,98.2,1.0
12.000000007,2.000000007,86.00000000700001,101.3,118.9,0.0
17.000000007,6.000000007000001,89.00000000700001,98.1,109.1,0.0
11.000000007,6.000000007000001,81.00000000700001,92.7,97.3,0.0
21.000000007,3.0000000070000006,92.00000000700001,103.4,114.6,0.0
11.000000007,4.000000007000001,81.00000000700001,90.9,105.5,0.0
26.000000007,2.0000000070000006,84.000000007,94.8,108.3,0.0
