scoring_3rd,scoring_4th,pace,efg_per,tov_per,orb_per,result
25.0,32.0,91.1,0.527,10.2,47.8,1
35.0,29.0,91.1,0.494,10.8,34.9,0
24.0,30.0,90.6,0.475,7.8,24.4,0
21.0,27.0,90.6,0.512,10.0,36.4,1
23.0,22.0,96.8,0.483,14.4,22.9,0
26.0,21.0,96.8,0.571,15.4,20.0,1
13.0,24.0,93.1,0.494,18.7,37.2,1
23.0,23.0,93.1,0.417,16.1,32.7,0
21.0,22.0,93.3,0.466,19.3,14.0,0
35.0,24.0,93.3,0.59,14.7,28.1,1
15.0,17.0,88.3,0.394,17.8,28.9,0
29.0,24.0,88.3,0.584,12.5,22.9,1
25.0,27.0,91.7,0.566,13.3,30.6,1
25.0,22.0,91.7,0.418,9.1,29.6,0
21.0,20.0,91.0,0.369,17.6,26.7,0
30.0,22.0,91.0,0.493,18.2,31.0,1
21.0,20.0,86.9,0.44,14.8,20.0,1
10.0,15.0,86.9,0.362,20.8,24.4,0
25.0,32.0,89.8,0.548,16.4,26.3,0
24.0,26.0,89.8,0.53,12.3,37.8,1
16.0,29.0,91.9,0.365,16.0,34.9,0
14.0,30.0,91.9,0.476,11.7,21.4,1
18.0,31.0,95.5,0.527,21.1,21.6,1
25.0,19.0,95.5,0.446,17.9,28.6,0
17.0,26.0,89.2,0.552,12.9,31.3,1
32.0,19.0,89.2,0.473,12.8,20.9,0
30.0,23.0,88.9,0.533,14.4,21.6,1
25.0,18.0,88.9,0.475,12.9,20.0,0
26.0,23.0,95.2,0.53,14.8,25.0,1
29.0,26.0,95.2,0.513,13.5,18.9,0
19.0,27.0,97.1,0.391,15.0,25.9,0
20.0,31.0,97.1,0.467,9.6,29.5,1
17.0,22.0,98.1,0.378,16.0,23.6,0
25.0,29.0,98.1,0.444,13.5,32.0,1
22.0,17.0,89.5,0.467,19.5,26.7,0
27.0,24.0,89.5,0.404,8.0,35.3,1
21.0,30.0,88.6,0.47,12.4,27.5,0
27.0,27.0,88.6,0.514,12.7,16.1,1
20.0,30.0,86.0,0.524,11.7,35.7,0
19.0,29.0,86.0,0.566,8.9,33.3,1
21.0,16.0,98.0,0.457,18.0,22.0,0
29.0,20.0,98.0,0.464,8.2,21.2,1
27.0,25.0,90.3,0.448,13.4,34.8,0
25.0,31.0,90.3,0.592,16.3,24.2,1
25.0,32.0,85.7,0.555,10.6,34.9,1
15.0,17.0,85.7,0.457,19.7,17.5,0
21.0,22.0,98.0,0.539,18.4,23.1,0
27.0,31.0,98.0,0.506,15.1,28.6,1
22.0,28.0,95.0,0.521,19.3,20.0,1
29.0,18.0,95.0,0.368,9.7,26.8,0
19.0,26.0,97.3,0.551,19.6,18.8,1
25.0,19.0,97.3,0.462,18.6,23.8,0
18.0,18.0,91.1,0.462,17.1,20.0,0
24.0,23.0,91.1,0.437,13.7,37.5,1
18.0,21.0,84.9,0.406,10.7,28.3,0
23.0,24.0,84.9,0.463,13.9,34.1,1
22.0,24.0,91.5,0.403,10.7,35.9,1
20.0,27.0,91.5,0.426,11.1,23.6,0
16.0,25.0,93.1,0.444,15.5,24.4,0
25.0,24.0,93.1,0.457,13.0,19.0,1
23.0,13.0,87.7,0.506,12.8,12.8,0
21.0,19.0,87.7,0.469,11.7,28.6,1
25.0,32.0,91.0,0.479,13.9,20.0,1
26.0,24.0,91.0,0.415,10.0,32.7,0
30.0,39.0,97.2,0.621,20.1,19.4,1
27.0,30.0,97.2,0.528,13.3,28.6,0
17.0,24.0,88.5,0.507,15.2,24.3,1
29.0,21.0,88.5,0.456,12.2,15.9,0
18.0,20.0,93.3,0.391,9.6,19.2,0
27.0,17.0,93.3,0.5,16.9,27.0,1
18.0,21.0,89.4,0.363,10.7,20.4,0
13.0,19.0,89.4,0.417,14.4,27.9,1
23.0,16.0,88.9,0.479,21.8,25.0,0
26.0,24.0,88.9,0.494,13.2,20.5,1
18.0,24.0,89.4,0.439,10.3,30.4,0
22.0,24.0,89.4,0.494,15.3,41.9,1
25.0,20.0,90.8,0.405,12.1,31.9,0
20.0,28.0,90.8,0.523,13.1,28.2,1
27.0,18.0,95.6,0.452,11.4,21.3,0
22.0,27.0,95.6,0.596,20.3,13.3,1
24.0,19.0,89.3,0.525,8.3,15.8,1
24.0,25.0,89.3,0.48,12.9,22.2,0
21.0,24.0,88.8,0.492,17.7,20.0,1
19.0,24.0,88.8,0.388,8.1,14.3,0
17.0,30.0,90.7,0.377,13.3,25.7,1
22.0,17.0,90.7,0.434,10.4,27.1,0
26.0,31.0,92.6,0.562,10.1,31.0,1
33.0,25.0,92.6,0.525,10.4,26.2,0
21.0,22.0,102.3,0.556,20.7,18.2,1
33.0,13.0,102.3,0.494,14.0,8.7,0
21.0,22.0,90.0,0.586,15.2,26.5,0
29.0,27.0,90.0,0.495,5.5,30.6,1
19.0,20.0,95.9,0.487,15.3,16.2,1
20.0,20.0,95.9,0.398,17.5,31.4,0
30.0,22.0,87.7,0.57,13.9,25.6,1
30.0,17.0,87.7,0.509,12.3,36.4,0
33.0,26.0,88.9,0.454,10.9,37.2,0
21.0,29.0,88.9,0.578,12.5,38.7,1
22.0,15.0,90.7,0.327,14.8,32.7,0
18.0,22.0,90.7,0.417,11.5,28.9,1
23.0,5.0,82.2,0.403,13.0,18.6,1
22.0,14.0,82.2,0.353,12.2,27.5,0
22.0,24.0,86.6,0.428,7.8,23.9,1
16.0,23.0,86.6,0.459,16.9,32.5,0
28.0,22.0,90.7,0.542,9.2,15.4,1
23.0,13.0,90.7,0.527,19.5,26.5,0
28.0,29.0,85.2,0.583,15.5,32.4,1
16.0,28.0,85.2,0.474,13.2,23.3,0
24.0,23.0,86.6,0.445,11.3,38.3,0
29.0,25.0,86.6,0.528,9.6,11.8,1
22.0,34.0,89.5,0.562,15.7,25.7,0
22.0,22.0,89.5,0.519,12.3,35.9,1
14.0,28.0,91.6,0.481,12.3,12.8,0
17.0,21.0,91.6,0.5,21.9,29.4,1
31.0,20.0,90.8,0.452,9.7,21.4,0
21.0,15.0,90.8,0.513,10.9,19.4,1
20.0,26.0,93.8,0.513,17.5,27.5,0
33.0,22.0,93.8,0.556,17.3,26.5,1
19.0,32.0,92.5,0.406,16.9,33.3,0
22.0,17.0,92.5,0.434,5.6,27.5,1
18.0,20.0,94.0,0.476,14.3,20.9,1
15.0,34.0,94.0,0.414,14.9,35.8,0
25.0,26.0,89.2,0.511,7.5,28.6,1
26.0,26.0,89.2,0.528,15.2,27.0,0
17.0,25.0,89.1,0.5,16.4,30.8,1
20.0,22.0,89.1,0.327,3.9,19.6,0
26.0,17.0,88.3,0.534,13.2,32.6,1
18.0,31.0,88.3,0.429,9.6,39.2,0
29.0,18.0,86.9,0.513,13.1,29.3,0
15.0,28.0,86.9,0.471,10.2,36.0,1
25.0,19.0,85.3,0.552,11.6,15.6,1
24.0,27.0,85.3,0.455,11.9,46.7,0
17.0,32.0,90.5,0.517,6.8,22.2,1
19.0,24.0,90.5,0.483,9.4,29.5,0
27.0,39.0,94.6,0.534,12.7,36.8,1
25.0,31.0,94.6,0.549,13.4,16.7,0
18.0,16.0,92.6,0.383,10.7,18.2,0
28.0,27.0,92.6,0.506,7.6,21.7,1
27.0,18.0,95.1,0.516,13.2,27.9,0
30.0,22.0,95.1,0.517,9.8,39.5,1
18.0,28.0,85.5,0.549,13.8,30.3,0
31.0,20.0,85.5,0.52,13.5,33.3,1
29.0,24.0,90.9,0.518,13.5,42.5,1
19.0,29.0,90.9,0.475,11.6,25.0,0
28.0,16.0,85.4,0.635,13.6,21.9,1
30.0,28.0,85.4,0.468,10.9,34.1,0
21.0,29.0,87.6,0.488,11.0,23.8,0
19.0,28.0,87.6,0.517,9.9,26.8,1
21.0,32.0,91.2,0.517,15.0,37.2,0
27.0,33.0,91.2,0.57,13.2,24.4,1
28.0,26.0,92.4,0.605,14.6,27.0,1
14.0,26.0,92.4,0.506,13.3,23.8,0
22.0,25.0,88.3,0.486,15.2,23.1,0
32.0,28.0,88.3,0.605,13.4,21.2,1
28.0,19.0,93.5,0.4,12.8,27.9,1
22.0,27.0,93.5,0.4,14.1,31.9,0
24.0,28.0,95.0,0.581,19.5,24.2,1
21.0,22.0,95.0,0.417,9.5,27.7,0
21.0,19.0,87.2,0.348,13.2,40.4,0
25.0,23.0,87.2,0.527,12.0,29.4,1
33.0,22.0,94.8,0.597,18.0,24.2,0
31.0,26.0,94.8,0.532,9.6,36.4,1
23.0,22.0,93.1,0.592,19.3,12.1,1
19.0,17.0,93.1,0.462,15.3,22.0,0
28.0,32.0,95.6,0.526,19.0,31.6,0
30.0,36.0,95.6,0.625,12.6,34.1,1
27.0,18.0,84.9,0.39,15.3,48.1,1
23.0,13.0,84.9,0.394,14.2,32.0,0
14.0,26.0,89.1,0.479,17.6,17.9,0
23.0,32.0,89.1,0.569,16.1,23.3,1
27.0,21.0,99.7,0.539,13.3,25.6,0
30.0,21.0,99.7,0.594,11.8,22.5,1
26.0,20.0,87.8,0.451,19.4,21.4,0
27.0,20.0,87.8,0.406,7.5,28.3,1
27.0,36.0,93.3,0.555,12.4,21.1,0
35.0,25.0,93.3,0.584,9.6,27.0,1
15.0,22.0,84.3,0.387,14.2,36.0,0
19.0,24.0,84.3,0.481,11.4,23.1,1
25.0,26.0,92.5,0.52,18.6,20.0,0
22.0,29.0,92.5,0.551,15.4,25.6,1
20.0,25.0,87.1,0.513,10.4,20.6,1
23.0,25.0,87.1,0.5,16.1,36.6,0
