team_fg,team_fga,team_fg_per,result
32.000000007,90.00000000700001,0.3555555556056789,0
36.000000007,79.00000000700001,0.4556962025798749,1
40.000000007,85.00000000700001,0.47058823533771615,1
38.000000007,77.00000000700001,0.4935064935525383,0
39.000000007,75.00000000700001,0.5200000000447998,0
43.000000007,79.00000000700001,0.5443037975087325,1
34.000000007,84.00000000700001,0.40476190481150787,0
33.000000007,79.00000000700001,0.41772151903893595,1
39.000000007000004,79.00000000700001,0.49367088612081395,1
35.000000007,79.00000000700001,0.44303797473289525,0
33.000000007,86.00000000700001,0.3837209302827203,0
38.000000007,74.00000000700001,0.5135135135595323,1
38.000000007,80.00000000700001,0.4750000000459374,1
35.000000007,80.00000000700001,0.43750000004921863,0
33.000000007,88.00000000700001,0.37500000004971584,0
30.000000007,85.00000000700001,0.3529411765238754,1
33.000000007,86.00000000700001,0.3837209302827203,1
32.000000007,80.00000000700001,0.4000000000524999,0
36.000000007,72.00000000700001,0.500000000048611,0
42.000000007,83.00000000700001,0.5060240964272027,1
37.000000007,78.00000000700001,0.47435897440614716,1
33.000000007,91.00000000700001,0.36263736268639046,0
32.000000007,85.00000000700001,0.37647058828664354,0
38.000000007,89.00000000700001,0.42696629217990145,1
29.000000007,77.00000000700001,0.3766233766800472,0
35.000000007,79.00000000700001,0.44303797473289525,1
38.000000007,90.00000000700001,0.4222222222671604,1
40.000000007,85.00000000700001,0.47058823533771615,0
40.000000007,86.00000000700001,0.4651162791133044,1
33.000000007,74.000000007,0.44594594599835646,0
33.000000007,83.00000000700001,0.39759036149658866,0
31.000000007,85.00000000700001,0.3647058824052595,1
44.000000007,69.00000000700001,0.6376811594570467,1
32.000000007,79.00000000700001,0.40506329119195633,0
35.000000007,77.00000000700001,0.4545454545950412,1
36.000000007,80.00000000700001,0.4500000000481249,0
38.000000007,84.00000000700001,0.4523809524265872,1
34.000000007,68.00000000700001,0.5000000000514705,0
32.000000007,89.00000000700001,0.35955056184812517,0
32.000000007,87.00000000700001,0.3678160920048883,1
35.000000007,85.00000000700001,0.4117647059307958,0
37.000000007,81.00000000700001,0.4567901235037341,1
33.000000007,71.00000000700001,0.46478873244713337,0
36.000000007,84.00000000700001,0.4285714286190475,1
32.000000007,89.00000000700001,0.35955056184812517,0
39.000000007,76.00000000700001,0.5131578947816827,1
32.000000007,84.00000000700001,0.38095238100396817,0
42.000000007,86.00000000700001,0.48837209306489987,1
37.000000007,90.00000000700001,0.4111111111569135,0
40.000000007,92.00000000700001,0.43478260873865776,1
37.000000007,82.00000000700001,0.451219512241969,0
37.000000007,81.00000000700001,0.4567901235037341,1
32.000000007,75.00000000700001,0.42666666672017767,1
29.000000007,88.00000000700001,0.32954545459878615,0
39.000000007,91.00000000700001,0.42857142861538455,0
49.00000000700001,80.00000000700001,0.6125000000339063,1
39.000000007,93.00000000700001,0.4193548387533818,1
34.000000007,96.00000000700001,0.3541666667137586,0
37.000000007,102.00000000700001,0.3627450980829488,0
39.000000007,99.00000000700001,0.39393939398224664,1
41.000000007,84.00000000700001,0.48809523813789674,1
30.000000007,70.00000000700001,0.4285714286285714,0
49.000000007,95.00000000700001,0.5157894737198891,0
43.000000007,83.00000000700001,0.5180722891972709,1
39.000000007,83.00000000700001,0.469879518116998,0
41.000000007,79.00000000700001,0.5189873418147731,1
38.000000007,77.00000000700001,0.4935064935525383,0
42.000000007,74.00000000700001,0.5675675676084733,1
36.000000007,84.00000000700001,0.4285714286190475,1
34.000000007,78.00000000700001,0.4358974359480604,0
28.000000007,79.00000000700001,0.3544303798040378,0
40.000000007,77.00000000700001,0.5194805195242029,1
34.000000007,79.00000000700001,0.4303797468859156,0
39.000000007,77.00000000700001,0.5064935065383706,1
41.00000000700001,83.00000000700001,0.4939759036571346,1
33.000000007,71.00000000700001,0.46478873244713337,0
39.000000007,91.00000000700001,0.42857142861538455,0
45.000000007,92.00000000700001,0.4891304348214791,1
29.000000007,64.00000000700001,0.4531250000598144,0
40.000000007,90.00000000700001,0.44444444448765424,1
44.000000007,88.00000000700001,0.5000000000397726,1
35.000000007,73.00000000700001,0.479452054844436,0
36.000000007,93.00000000700001,0.3870967742396808,0
48.000000007,78.00000000700001,0.615384615419132,1
40.000000007,92.00000000700001,0.43478260873865776,1
39.000000007,74.00000000700001,0.5270270270717676,0
40.000000007,90.00000000700001,0.44444444448765424,0
38.000000007,91.00000000700001,0.41758241762721887,1
35.000000007,88.00000000700001,0.3977272727751807,0
47.000000007,86.00000000700001,0.5465116279438885,1
39.000000007,84.00000000700001,0.46428571433035704,1
29.000000007,86.00000000700001,0.33720930237952945,0
31.000000007,78.00000000700001,0.39743589748997366,0
37.000000007,81.00000000700001,0.4567901235037341,1
27.000000007,79.00000000700001,0.3417721519570581,0
41.000000007,87.00000000700001,0.4712643678586338,1
36.000000007,86.00000000700001,0.4186046512101135,0
40.000000007,84.00000000700001,0.47619047623412686,1
35.000000007,78.00000000700001,0.44871794876742266,0
41.000000007,92.00000000700001,0.44565217395522205,1
30.000000007,84.00000000700001,0.3571428571964285,0
35.000000007,74.00000000700001,0.47297297302282676,1
35.000000007,85.00000000700001,0.4117647059307958,0
38.000000007,87.00000000700001,0.4367816092407186,1
39.000000007,95.00000000700001,0.4105263158329085,0
34.000000007,81.00000000700001,0.4197530864698978,1
43.000000007,93.00000000700001,0.46236559143831646,1
38.000000007,87.00000000700001,0.4367816092407186,0
36.000000007,81.00000000700001,0.4444444444924553,0
39.000000007,84.00000000700001,0.46428571433035704,1
36.000000007,86.00000000700001,0.4186046512101135,0
