starters_3p_per,reserves_fg_per,starters_ast,starters_fg,starting_g_fg_per,starting_f_fg_per,starters_trb_per,starters_drb,starters_pts,starters_fg_per,result
0.3333333334814815,0.45238095243310655,14.000000004,13.000000004,0.19047619051473924,0.29411764710034605,34.800000004,8.000000004,38.000000004,0.2708333333940972,0
0.38461538480473373,0.4285714286802721,19.000000004,27.000000004,0.44186046512925903,0.5333333333644444,65.500000004,27.000000004,71.000000004,0.46551724141617123,1
0.40000000048000006,0.44117647065397925,13.000000004,25.000000004,0.4800000000208,0.5000000000192307,51.900000004,22.000000004,62.000000004,0.49019607847135716,1
0.25000000037500003,0.4666666668088889,16.000000004,31.000000004,0.6086956521909263,0.3333333333580247,49.800000004,24.000000004,74.000000004,0.5000000000322581,0
0.4285714288979592,0.4285714286802721,22.000000004,30.000000004,0.700000000015,0.4705882353096885,68.10000000400001,29.000000004,78.000000004,0.5555555555884774,0
0.444444444691358,0.6666666667555555,20.000000004,33.000000004,0.4482758620879905,0.5714285714408163,49.800000004,21.000000004,88.00000000400001,0.5156250000302735,1
0.5000000003333334,0.3428571429322449,8.000000004,22.000000004,0.5238095238321996,0.39285714287882656,51.000000004,17.000000004,55.000000004,0.44897959188171593,0
6.666666662222222e-10,0.4444444445679012,17.000000004,25.000000004,0.3478260869848771,0.42307692309911243,50.900000004000006,22.000000004,70.000000004,0.40983606561246977,1
0.27777777793827163,0.529411764816609,27.000000004,30.000000004,0.5135135135266617,0.3157894737202216,56.900000004000006,24.000000004,78.000000004,0.48387096777523414,1
0.1250000004375,0.5600000000704,15.000000004,21.000000004,0.2400000000304,0.5172413793269917,50.200000004,20.000000004,60.000000004,0.3888888889341564,0
0.16666666722222223,0.23809523824036283,17.000000004,28.000000004,0.250000000046875,0.4444444444598765,59.500000004,23.000000004,75.000000004,0.4307692308042604,0
0.3333333337777778,0.6296296296844993,17.000000004,21.000000004,0.35294117650865053,0.4090909091177686,48.10000000400001,19.000000004,52.000000004,0.446808510685378,1
0.38461538480473373,0.36842105276454296,16.000000004,31.000000004,0.4736842105540166,0.5238095238208617,46.600000004,23.000000004,79.000000004,0.5081967213437248,1
6.666666662222222e-10,0.4800000000832,21.000000004,23.000000004,0.29411764710034605,0.5000000000178572,54.800000004,24.000000004,61.000000004,0.41818181822413225,0
0.1250000004375,0.3414634146983938,13.000000004,19.000000004,0.4000000000171428,0.3333333334074074,68.000000004,20.000000004,43.000000004,0.40425531919963786,0
0.1818181821157025,0.37500000007812506,16.000000004,18.000000004,0.30555555557484565,0.411764705916955,39.800000004,16.000000004,45.000000004,0.33962264155927374,1
0.3076923079053255,0.5862068966087991,9.000000004,16.000000004,0.2666666666911111,0.19047619051473924,63.900000004000006,22.000000004,41.000000004,0.28070175443644196,1
0.26666666686222223,0.400000000096,14.000000004,22.000000004,0.3333333333888889,0.3939393939577594,57.900000004000006,28.000000004,61.000000004,0.4000000000436364,0
0.46153846170414203,0.3333333335111111,16.000000004,31.000000004,0.4782608695879017,0.5789473684432133,68.10000000400001,25.000000004,91.000000004,0.5438596491548169,0
0.421052631700831,0.5555555557530865,15.000000004,37.000000004,0.5000000000178572,0.5000000000108695,49.40000000399999,15.000000004,103.00000000400001,0.500000000027027,1
0.33333333362962964,0.4666666668088889,18.000000004,30.000000004,0.3333333334074074,0.5121951219631171,50.600000003999995,25.000000004,67.000000004,0.47619047622373395,1
